Card   1: 34 55 49 53 46  7 82 22 59 33 | 33 29  7 66 22 51 59 21 55 85 53 26 94 46 24 82  6 47 38  2 34 89 49 41 76
Card   2: 92 73 47  1 91 82 52 98 84 63 | 39 31 73 63 67 91 97 44  8  1 52 20 25 92 43 81 10 36 45 82 47 84  2 98 23
Card   3: 94 35 26 78 66 40 64  7 31 65 | 26 40 65 35 94 36 69 20  7 76 56 27 91 83 66 14 72 31 43 64 34 67 38 78  9
Card   4: 85 11 22  6 20 39 91 69 60 49 | 11 82 68 71 98  3  6 26 32 20 69 35 38 24 93 28 61 18 49 15 40 91 58 75 81
Card   5: 81 89 38 24 64 17 48 69 43 60 | 26 45 49 48  8 19 33 38 28 60 83 27 12 23 89 13 36 88 95 65  4 20 64 62 69
Card   6: 64 37 38 44 63 21 15 43 17 84 | 27 47  5 34 38  8 21 44 41 76 84 64 51 43 25 85 56 32 63  6 15 37 57 17 65
Card   7: 82 97  2 91 92 24 18 19 12 42 | 26 82 79 50 67 92 42 76 97 19 24 91 72 71 15 95 59 88 74  5 18 31 12 46  2
Card   8: 32 90 25 17 85 19 83 59 18 31 | 82 70 53 31 11 19 35 76 85 90  8 40 95 25 18 79 60 59 17 26 28 81 32 83 99
Card   9: 81 51 84 95 88 69 26 75 52  7 | 29 87 12 76 67 95 71 44 91 30  3 43 17 34 64  9 84 53 15 28 72 40 46 10 22
Card  10: 45 36 13 80 75 57 40 99 28 92 | 18 62 75 91 45 90 13 64 61 36 84 67 71 59 82 12 57  7 40 51 46 98 92 28 35
Card  11: 25  3 71 81 17 38 99 30 93 92 | 64 42 24 92 31 73 21 80 41 58 15  8  7 87 88  1 77 94 45 65  5 40 20 79  6
Card  12: 65  1 43 86 88 68 90 54 57 20 | 37 42 46 64 63 21 12 57 55 91 14 44 26 82 95 74 68 85 98 25 67 70 94 32  2
Card  13:  7 40 31 50 37 83 99 62 58 19 | 58 30 99  1 33 19 20 50  7 68 40 62 85 37 31 13 41 51 67 83 84 14 42 43 12
Card  14: 19 76 40 22 77 18 86  7 47 50 | 90  4 96 40 38  5  7 65 50 98 16 63 60 76 58 52 78 80 45 32 23 19  3 42 61
Card  15: 69 12 99 89  8 41 11 65 34 18 | 28 99 11 38  5 92 65 74 31 20 35 88 12 51 83 63 24 56 30 34 64 41 69 18 67
Card  16: 49 14 22 53 35  9 55 88 21 72 | 34  3 64 35 29  7 53 60 58 88 55 16 91 59 49 22 33 46 45 37  9 69 70 54 85
Card  17: 74 96 63 61 78 76 91 41 94 66 | 18 43 14 73  2 31 60 99 39 16 80 59 91 97 23 53 72 96 61 33 88 63 47 41 25
Card  18: 68 59 62 34 38 55  2  5 45 92 | 43 19 37 45 12 99 10  5 73 39 33 92 25 44 79 11 54 95 55 24 17 71 94 56 57
Card  19: 91 47 50  5 59 21  2 43 22 73 | 75 61 89 73 28  5 74 72 48 33 43 20 85 22 97 86 36 77 39 38 53 62 92 32 88
Card  20: 55 48  7 90 95 40 29 44 11 96 | 25 55 75 45  6 82 17 38 20 97 28 53  2 68 50 37 30 87 92 78 31 65 73 74 88
Card  21: 57 91 72 82 71 65 66 21 12 96 |  5 21 59 85 17 91 94  3 56 46 68 67 95 23 50 57 84 22  9 52  6 61 97 48 40
Card  22: 72 15 12 41 98 33 82 71 60 85 | 64 14 58 92 63 76 54 75 13 30  4 20 85 96 42 36 86  1 40  7 49 90 52 70 89
Card  23: 24 15 72 94 71 93 30 19 74 69 | 96 49 37 20 79 83 58 99 11 65 66 89 18  4 86 68 70 90 81 82 54 62 16 67 44
Card  24: 27 64 69 87 33 71 19  2  4 50 | 26 63 94  9 83 80 32 88 79 14 55 78 51 74 56 77 11  5 30 92 28  1 91 89 24
Card  25: 41 38 36 83 87 86  8 72 91 48 | 91  8 87  9 90 86 53 39 72 88 41 59 37 12  7 48 13 67 76 55 83 96 36 38 77
