313743533208081, 328167831228390, 159732064722764 @ 51, 115, 83
468183773350185, 269960480220160, 439515864552130 @ -243, -42, -12
182013004223519, 391834672709518, 355278372451916 @ 84, -172, 15
305482146522551, 295432305896902, 262933030649000 @ -38, 24, -16
317004666243105, 378324701560288, 371293866971580 @ -85, -156, -21
217301751287405, 231301243708264, 284976744640376 @ 40, 31, 103
306216470248765, 309154291718368, 334772954109654 @ -45, -18, -150
274009137641263, 291104820338961, 239659341210897 @ 26, 22, 58
460367906391536, 301560329783761, 363213638475044 @ -251, -66, 35
304630863115655, 315365753288440, 126771688438070 @ -6, 22, 310
347966616935865, 356792687190450, 289870626909526 @ -195, -95, -822
273139584437103, 287334362311499, 281777562457473 @ 26, 28, -30
150661115836739, 133213164517594, 39368956442204 @ 184, 229, 443
328799289053003, 401433732156109, 235673995809767 @ -66, -378, -360
279774665496707, 283356064807165, 291968602605086 @ 14, 40, -59
471148776840755, 455399795218824, 296040222340972 @ -260, -238, 115
308405759568043, 528140167876391, 360409224398235 @ -82, -304, 64
320965209951718, 335967296507230, 168390969413040 @ -9, 45, 39
168883428889523, 269234026666746, 306065493129224 @ 112, -11, 65
272978973001295, 490953313548270, 446757357199100 @ 52, -466, -517
184266505219895, 346704682438540, 315868747815505 @ 178, -105, -54
278997719389223, 269032940116598, 274357885436880 @ 22, 82, -36
261617162665465, 324899293280217, 291230787022617 @ 200, 22, -374
311756541835930, 283275368391655, 151468694322155 @ 15, 276, 188
365057751836227, 365813692606455, 520395607928264 @ -154, -140, -289
297342424950033, 448785305808932, 273423044606480 @ 27, -442, -211
319467263995297, 353706543577192, 149168810457628 @ 41, -54, 123
178926223111703, 189769509473572, 182381634158204 @ 178, 182, 203
313844578266815, 227923067087230, 152925486208400 @ -6, 501, 191
89409559144453, 158794788604802, 334682926111370 @ 161, 89, 74
281261631616163, 303188757064674, 322143864547040 @ -29, -47, 14
153319889076143, 39727985421070, 133041680702508 @ 136, 300, 295
330418479155666, 345727788309037, 142904674056223 @ -41, 78, 136
329597883083117, 351461497448470, 147971902526968 @ -8, 45, 7
328551604708035, 352276888215462, 320926510070343 @ -90, -107, -224
358210097232655, 224756373754514, 226669370993372 @ -160, 173, 83
154919503051729, 174103089984932, 215875798580688 @ 84, 67, 207
215374548532805, 256361501076265, 484806958490545 @ 16, -24, -72
309083623808951, 359067228199834, 181811140608932 @ 54, -114, -18
297743035333580, 224874080816746, 224361207300881 @ 65, 497, -134
218963757665103, 180847104264870, 333045076008438 @ 38, 95, 42
326501156920615, 249607458753352, 217251588276498 @ -70, 348, -74
273107790297979, 250492022856994, 270595499656896 @ 11, 81, 28
216750318308989, 304576294938399, 356852540169258 @ 36, -64, 21
343025887745321, 323539760186446, 228486011379068 @ -124, -59, 107
345169506069296, 535423410632473, 172529280744629 @ -137, -636, 176
331110856685887, 162858600764063, 519275107591967 @ -102, 202, -358
321526084097366, 276136002437794, 246533301528761 @ -41, 281, -262
299936752049911, 349027164299086, 186829455082094 @ 114, -51, -55
155024624379623, 119655434742156, 19955699914080 @ 202, 284, 489
264928330924385, 284252023357996, 294337427215946 @ 45, 36, -60
252481936402847, 276316415240866, 175972977517748 @ -21, -43, 250
332366913581462, 324844221829099, 183978479345645 @ -89, 92, -26
